"","eventLabel","totalEvents"
"145","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct15.csv",7
"146","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct16.csv",6
"147","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct17.csv",1
"148","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct18.csv",2
"149","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct19.csv",5
"150","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct20.csv",1
"151","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct21.csv",7
"152","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct22.csv",4
"153","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct23.csv",4
"154","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct24.csv",4
"155","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct25.csv",3
"156","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct26.csv",5
"157","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct27.csv",1
"158","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct28.csv",4
"159","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct29.csv",1
"160","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct30.csv",7
"161","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct31.csv",4
"162","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fcct32.csv",1
"163","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fservicio.csv",10
"164","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fsostenimiento.csv",14
"165","http%3A%2F%2Ffs.planeacion.sep.gob.mx%2Fcct%2Fsubnivel.csv",6
"166","http%3A%2F%2Finternet.coneval.gob.mx%2Fcoordinacion%2FDocuments%2Fmonitoreo%2Fdatos_abiertos%2Fdb.entidades2011.csv",9
"167","http%3A%2F%2Finternet.coneval.gob.mx%2Fcoordinacion%2FDocuments%2Fmonitoreo%2Fdatos_abiertos%2Fdb.entidades2013.csv",4
"168","http%3A%2F%2Finternet.coneval.gob.mx%2Fcoordinacion%2FDocuments%2Fmonitoreo%2Fdatos_abiertos%2Fdb.ind2010.csv",7
"169","http%3A%2F%2Finternet.coneval.gob.mx%2Fcoordinacion%2FDocuments%2Fmonitoreo%2Fdatos_abiertos%2Fdb.ind2012.csv",3
"170","http%3A%2F%2Finternet.coneval.gob.mx%2Fcoordinacion%2FDocuments%2Fmonitoreo%2Fdatos_abiertos%2Fdb.mir2008.csv",4
"171","http%3A%2F%2Finternet.coneval.gob.mx%2Fcoordinacion%2FDocuments%2Fmonitoreo%2Fdatos_abiertos%2Fdb.mir2010.csv",4
"172","http%3A%2F%2Finternet.coneval.gob.mx%2Fcoordinacion%2FDocuments%2Fmonitoreo%2Fdatos_abiertos%2Fdb.mir2012.csv",3
"173","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FCadenasProductivas.csv",8
"174","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FCapacidadEfectivaHistorico.csv",3
"175","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FCatalogodePuestosySalarios.csv",47
"176","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FConsumoBrutoHistorico.csv",16
"177","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FContratosdeBienesyServicios2014.csv",8
"178","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FDemandaMaximaBrutaHistorico.csv",2
"179","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FDistribuciondelaRedElectricaporCapacidad.csv",20
"180","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FElectrificacionRural.csv",13
"181","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FEstadosFinancieros.csv",19
"182","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FIndicadoresOperativosCompromisosdeServicio.csv",7
"183","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FLocalizaciondeCentrosdeAtencion.csv",11
"184","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FPreciosCombustibles.csv",20
"185","http%3A%2F%2Flicitaciones.cfe.gob.mx%2FDatos%2FProductividadLaboral.csv",17
"186","http%3A%2F%2Fplataforma.promexico.gob.mx%2Fsys%2Fgateway.aspx%3FUID%3D44201dbb-34c4-487a-92ea-2ce6f36e4644%26formato%3DJSON",2
"187","http%3A%2F%2Fplataforma.promexico.gob.mx%2Fsys%2Fgateway.aspx%3FUID%3Daeb31afe-aa16-4cea-a11f-33ebe1137657%26formato%3DJSON",4
"188","http%3A%2F%2Fplataforma.promexico.gob.mx%2Fsys%2Fgateway.aspx%3FUID%3Df2ea359b-a03d-456b-a01a-0f8afab41344",8
"189","http%3A%2F%2Fsmn.conagua.gob.mx%2Fsatelite%2Fgeotiff%2Fir4mexico_g13.gif",9
"190","http%3A%2F%2Fsmn.conagua.gob.mx%2Fsatelite%2Fgeotiff%2Fir4mexico_g13.png",4
