"X","eventLabel","totalEvents"
230,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=MESTADOP&anioi=2013&aniof=2014&periodicidad=MENSUAL",45
231,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=QEPTQC&anioi=2013&aniof=2014&periodicidad=MENSUAL",6
232,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=QEPTROQ&anioi=2013&aniof=2014&periodicidad=MENSUAL",4
233,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=QVALORI&anioi=2013&aniof=2014&periodicidad=MENSUAL",4
234,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=QVALORX&anioi=2013&aniof=2014&periodicidad=MENSUAL",1
235,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=QVOLUX&anioi=2013&aniof=2014&periodicidad=MENSUAL",11
236,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=QVOLVIN&anioi=2013&aniof=2014&periodicidad=MENSUAL",12
237,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=REPETRE&anioi=2013&aniof=2014&periodicidad=MENSUAL",24
238,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=RPETROL&anioi=2013&aniof=2014&periodicidad=MENSUAL",9
239,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=RPROREF&anioi=2013&aniof=2014&periodicidad=MENSUAL",18
240,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=RSVHIDRS&anioi=2013&aniof=2014&periodicidad=MENSUAL",21
